text,A,B,C,D,correct_option
What is the capital of Australia?,Sydney,Melbourne,Canberra,Brisbane,C
Who wrote the play 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,George Orwell,Mark Twain,A
What is the largest planet in our Solar System?,Earth,Mars,Jupiter,Saturn,C
What is the square root of 64?,6,8,10,12,B
Which element has the chemical symbol 'O'?,Oxygen,Gold,Osmium,Hydrogen,A
What is the currency of Japan?,Yen,Dollar,Won,Peso,A
Which planet is known as the Red Planet?,Mars,Venus,Mercury,Jupiter,A
Who painted the Mona Lisa?,Leonardo da Vinci,Michelangelo,Vincent van Gogh,Pablo Picasso,A
What is the smallest prime number?,1,2,3,5,B
Which organ in the human body is responsible for pumping blood?,Brain,Lungs,Heart,Kidney,C
What is the tallest mountain in the world?,K2,Mount Everest,Kangchenjunga,Lhotse,B
What is the chemical symbol for water?,HO,H2O,O2H,OH2,B
Who discovered penicillin?,Marie Curie,Alexander Fleming,Isaac Newton,Charles Darwin,B
Which planet is closest to the sun?,Mercury,Venus,Earth,Mars,A
Who painted the ceiling of the Sistine Chapel?,Leonardo da Vinci,Raphael,Michelangelo,Donatello,C
What is the boiling point of water at sea level?,90°C,100°C,110°C,120°C,B
Which is the longest river in the world?,Amazon River,Nile River,Yangtze River,Mississippi River,B
What is the largest mammal in the world?,Elephant,Blue Whale,Giraffe,Hippopotamus,B
Which year did World War II end?,1944,1945,1946,1947,B
What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Platinum,C
What is the capital of France?,Berlin,Madrid,Paris ,Rome,C
What is the main gas found in the air we breathe?,Oxygen,Nitrogen,Carbon Dioxide,Helium,B
